"village","timepoint","village_id","locus","allele_frequency","allele_count_observed"
"px_kigali_1",1,1,"Marker_1",0.557604235532473,9
"px_kigali_1",1,1,"Marker_2",0.348480839033714,3
"px_kigali_1",2,1,"Marker_1",0.569461398762571,13
"px_kigali_1",2,1,"Marker_2",0.359776452005425,4
"px_kigali_2",1,2,"Marker_1",0.693626957234167,15
"px_kigali_2",1,2,"Marker_2",0.0213495474093741,0
"px_kigali_2",2,2,"Marker_1",0.698599344235052,17
"px_kigali_2",2,2,"Marker_2",0.0220067542881769,1
"px_kigali_3",1,3,"Marker_1",0.360761575982265,9
"px_kigali_3",1,3,"Marker_2",0.846481658742682,16
"px_kigali_3",2,3,"Marker_1",0.366279678760583,10
"px_kigali_3",2,3,"Marker_2",0.848681745435721,19
"px_kigali_4",1,4,"Marker_1",0.704047561824936,15
"px_kigali_4",1,4,"Marker_2",0.916992576961625,18
"px_kigali_4",2,4,"Marker_1",0.706720974890135,14
"px_kigali_4",2,4,"Marker_2",0.918028081510146,20
"px_kigali_5",1,5,"Marker_1",0.610591400219641,11
"px_kigali_5",1,5,"Marker_2",0.215196304499655,5
"px_kigali_5",2,5,"Marker_1",0.652013771626822,13
"px_kigali_5",2,5,"Marker_2",0.256196482615612,7
"px_kigali_6",1,6,"Marker_1",0.770237581026632,15
"px_kigali_6",1,6,"Marker_2",0.906649645460651,18
"px_kigali_6",2,6,"Marker_1",0.788398123443556,18
"px_kigali_6",2,6,"Marker_2",0.917030128989012,18
"px_kigali_7",1,7,"Marker_1",0.769418233692593,16
"px_kigali_7",1,7,"Marker_2",0.843637215525334,16
"px_kigali_7",2,7,"Marker_1",0.781773109937289,17
"px_kigali_7",2,7,"Marker_2",0.854842716942686,15
"px_kigali_8",1,8,"Marker_1",0.164799480214323,4
"px_kigali_8",1,8,"Marker_2",0.699914418695298,15
"px_kigali_8",2,8,"Marker_1",0.177135749008182,5
"px_kigali_8",2,8,"Marker_2",0.711036507056945,15
"px_kigali_9",1,9,"Marker_1",0.198669462324245,7
"px_kigali_9",1,9,"Marker_2",0.0590686739343363,0
"px_kigali_9",2,9,"Marker_1",0.206430118204029,3
"px_kigali_9",2,9,"Marker_2",0.0611022086208459,2
"px_kigali_10",1,10,"Marker_1",0.629541751490969,13
"px_kigali_10",1,10,"Marker_2",0.379772456658774,6
"px_kigali_10",2,10,"Marker_1",0.634128762652031,10
"px_kigali_10",2,10,"Marker_2",0.384890989579285,10
"px_kigali_11",1,11,"Marker_1",0.662726025414365,11
"px_kigali_11",1,11,"Marker_2",0.169370953993744,3
"px_kigali_11",2,11,"Marker_1",0.666057271011886,15
"px_kigali_11",2,11,"Marker_2",0.171919612776652,3
"px_kigali_12",1,12,"Marker_1",0.132042907385581,5
"px_kigali_12",1,12,"Marker_2",0.639076932225019,16
"px_kigali_12",2,12,"Marker_1",0.134769388371181,0
"px_kigali_12",2,12,"Marker_2",0.642404742643179,14
"px_kigali_13",1,13,"Marker_1",0.26024306351906,2
"px_kigali_13",1,13,"Marker_2",0.778362132085691,17
"px_kigali_13",2,13,"Marker_1",0.343907097700738,8
"px_kigali_13",2,13,"Marker_2",0.818478077937127,18
"px_kigali_14",1,14,"Marker_1",0.0236683555139993,0
"px_kigali_14",1,14,"Marker_2",0.851474671453534,18
"px_kigali_14",2,14,"Marker_1",0.0361220061988838,1
"px_kigali_14",2,14,"Marker_2",0.875573821517281,19
"px_kigali_15",1,15,"Marker_1",0.679724119046434,12
"px_kigali_15",1,15,"Marker_2",0.952864198860144,19
"px_kigali_15",2,15,"Marker_1",0.710329330382895,13
"px_kigali_15",2,15,"Marker_2",0.959139623459979,19
"px_kigali_16",1,16,"Marker_1",0.972458091317003,20
"px_kigali_16",1,16,"Marker_2",0.827174986117026,13
"px_kigali_16",2,16,"Marker_1",0.973873719910965,20
"px_kigali_16",2,16,"Marker_2",0.841520298879804,19
"px_kigali_17",1,17,"Marker_1",0.0981053516948371,2
"px_kigali_17",1,17,"Marker_2",0.0715292566940247,0
"px_kigali_17",2,17,"Marker_1",0.108365644263356,0
"px_kigali_17",2,17,"Marker_2",0.0768183060988344,1
"px_kigali_18",1,18,"Marker_1",0.650239267737319,12
"px_kigali_18",1,18,"Marker_2",0.322945543716729,3
"px_kigali_18",2,18,"Marker_1",0.658552338922937,15
"px_kigali_18",2,18,"Marker_2",0.332359972187359,7
"px_kigali_19",1,19,"Marker_1",0.827167078364562,17
"px_kigali_19",1,19,"Marker_2",0.860485041240262,19
"px_kigali_19",2,19,"Marker_1",0.829845473176443,20
"px_kigali_19",2,19,"Marker_2",0.86346537144312,17
"px_kigali_20",1,20,"Marker_1",0.560890057454271,16
"px_kigali_20",1,20,"Marker_2",0.513261589737563,14
"px_kigali_20",2,20,"Marker_1",0.566247600493201,7
"px_kigali_20",2,20,"Marker_2",0.518554621281034,10
"px_kigali_21",1,21,"Marker_1",0.288326310294033,6
"px_kigali_21",1,21,"Marker_2",0.251783965534977,5
"px_kigali_21",2,21,"Marker_1",0.394978056899116,7
"px_kigali_21",2,21,"Marker_2",0.338395129310644,6
"px_kigali_22",1,22,"Marker_1",0.625576229587272,8
"px_kigali_22",1,22,"Marker_2",0.894077834119607,16
"px_kigali_22",2,22,"Marker_1",0.685144211867692,18
"px_kigali_22",2,22,"Marker_2",0.91635819571543,16
"px_kigali_23",1,23,"Marker_1",0.788436598787249,13
"px_kigali_23",1,23,"Marker_2",0.915296050650199,20
"px_kigali_23",2,23,"Marker_1",0.815065873089584,16
"px_kigali_23",2,23,"Marker_2",0.930678912678665,20
"px_kigali_24",1,24,"Marker_1",0.670351406301205,9
"px_kigali_24",1,24,"Marker_2",0.657560657696564,12
"px_kigali_24",2,24,"Marker_1",0.704241212409401,14
"px_kigali_24",2,24,"Marker_2",0.697476131434241,14
"px_kigali_25",1,25,"Marker_1",0.846015447453189,18
